Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
2014-12-31,24.88069725036621,46.65898895263672,38.70964050292969,78.15048217773438,72.69999694824219,46.2170295715332,2.6700000762939453,128.55072021484375,84.59052276611328,15.517499923706055,80.13179779052734,82.50398254394531,113.6834487915039,15.447635650634766,33.968387603759766,1140.2099609375,294.2493896484375,47.34739303588867,,45.46568298339844,73.16783142089844,166.6199951171875,57.8421516418457,24.77189064025879,71.6476058959961,53.89558410644531,119.25215911865234,59.310001373291016,21.647275924682617,79.52852630615234,79.97089385986328,62.41059875488281,87.78634643554688,,60.34010696411133,48.97780990600586,20.17986297607422,11.043476104736328,158.79205322265625,115.39703369140625,168.74789428710938,73.379150390625,27.87188148498535,26.247936248779297,26.533000946044922,169.2095947265625,88.04793548583984,81.26825714111328,109.67491912841797,29.264177322387695,84.88980102539062,50.055809020996094,,32.88898468017578,110.63233947753906,58.12101745605469,156.23007202148438,60.170166015625,81.98309326171875,76.5343246459961,31.030925750732422,61.114776611328125,36.826969146728516,78.0199966430664,130.21188354492188,31.43296241760254,42.46354293823242,32.16305160522461,40.655128479003906,21.888200759887695,48.801429748535156,44.286800384521484,4.8169660568237305,39.56787872314453,75.51296997070312,22.292844772338867,72.78050994873047,54.852638244628906,,58.57270431518555,59.99875259399414,35.58910369873047,27.676437377929688,34.691585540771484,126.44497680664062,13.689090728759766,61.245697021484375,122.333740234375,26.940000534057617,14.827333450317383,43.66132354736328,89.7902603149414,100.47052001953125,88.10787963867188,35.65773010253906,62.21429443359375,32.3958740234375,60.93751525878906,43.810699462890625,72.5083999633789,64.46250915527344
2015-01-02,24.644023895263672,46.9798469543457,38.60646057128906,77.73922729492188,72.33999633789062,46.29954147338867,2.6700000762939453,129.03494262695312,85.29224395751953,15.425999641418457,79.7335205078125,82.48622131347656,113.6572036743164,15.456273078918457,33.87629318237305,1142.06005859375,293.56640625,47.732391357421875,,45.591712951660156,73.4476318359375,166.42999267578125,57.71675491333008,24.490053176879883,71.59555053710938,53.78633117675781,119.13439178466797,59.2400016784668,21.631603240966797,78.52936553955078,80.25605010986328,62.41788101196289,87.37625885009766,,60.70848083496094,49.025413513183594,20.44654083251953,10.943727493286133,157.6857147216797,116.09305572509766,167.34561157226562,73.88514709472656,27.815996170043945,26.16865348815918,26.477500915527344,169.7158966064453,86.75619506835938,81.52037811279297,110.78231048583984,29.32063102722168,84.84918975830078,50.30536651611328,,32.8266716003418,110.96534729003906,59.022422790527344,156.83041381835938,59.20812225341797,81.5263671875,76.17494201660156,31.423824310302734,60.84390640258789,36.70439529418945,78.44999694824219,130.00582885742188,31.2415714263916,42.762630462646484,32.088443756103516,40.92643737792969,21.97057342529297,49.84857177734375,43.77093505859375,4.836185932159424,39.00476837158203,75.41716003417969,22.421667098999023,72.26116943359375,54.56303405761719,,58.533287048339844,60.01962661743164,35.32450485229492,27.703937530517578,34.875244140625,128.6876678466797,13.803202629089355,60.777740478515625,125.09693908691406,27.299999237060547,14.620667457580566,43.669490814208984,89.51492309570312,100.03201293945312,87.48175048828125,35.56254196166992,62.8834228515625,32.52052688598633,60.777591705322266,43.71479415893555,72.52528381347656,64.72750091552734
2015-01-05,23.949752807617188,46.09571838378906,38.61507034301758,76.42664337158203,71.9800033569336,45.38360595703125,2.6600000858306885,127.5015869140625,84.05996704101562,15.10949993133545,78.45890045166016,80.30479431152344,112.87004852294922,15.007265090942383,33.00551986694336,1097.5799560546875,285.970703125,46.986446380615234,,44.15488815307617,69.57059478759766,160.5,57.29039001464844,23.990602493286133,69.94647216796875,51.2265625,117.7799072265625,58.16999816894531,21.20069694519043,77.75315856933594,77.04810333251953,61.79894256591797,86.09940338134766,,59.83452224731445,48.017765045166016,19.864215850830078,10.51623821258545,155.26255798339844,113.66970825195312,164.27381896972656,75.34869384765625,27.4088134765625,25.623151779174805,25.972999572753906,164.41693115234375,84.93602752685547,79.96691131591797,109.03917694091797,28.99001121520996,84.25657653808594,48.743629455566406,,32.8266716003418,108.03646087646484,58.44114303588867,153.5690155029297,57.791351318359375,79.23320770263672,75.3336410522461,30.954051971435547,60.58997344970703,35.4788818359375,77.19000244140625,127.0738525390625,31.062931060791016,43.398197174072266,31.08543586730957,40.55009460449219,21.737876892089844,47.31142807006836,43.06620788574219,4.754501819610596,38.457767486572266,74.85017395019531,22.300004959106445,71.91757202148438,54.15224838256836,,58.25749206542969,59.017906188964844,34.647850036621094,26.77802276611328,34.726898193359375,129.2153778076172,13.672786712646484,59.68851852416992,123.37850189208984,26.93000030517578,14.005999565124512,42.991756439208984,88.04046630859375,96.65005493164062,85.73018646240234,34.70580291748047,61.495338439941406,32.25044250488281,59.578006744384766,42.51602554321289,72.31420135498047,62.95641326904297
2015-01-06,23.952009201049805,45.867549896240234,38.176551818847656,75.87533569335938,70.52999877929688,44.739990234375,2.630000114440918,123.39384460449219,83.83748626708984,14.76449966430664,76.67448425292969,78.59334564208984,111.54064178466797,14.558257102966309,32.051025390625,1079.9599609375,281.52679443359375,46.9062385559082,,42.60044479370117,69.12293243408203,156.30999755859375,56.688480377197266,23.677648544311523,68.64456939697266,49.111629486083984,119.33633422851562,57.20000076293945,21.19286346435547,77.81095886230469,77.01244354248047,61.376609802246094,85.6427230834961,,60.816837310791016,47.93842315673828,19.711835861206055,10.41649055480957,155.25341796875,113.80387115478516,160.7345428466797,76.0181884765625,27.823976516723633,25.029281616210938,25.332000732421875,161.09091186523438,84.67601013183594,79.77983856201172,106.68760681152344,28.4497127532959,83.84258270263672,47.47976303100586,,33.075950622558594,106.65313720703125,58.73600769042969,152.84698486328125,57.92253112792969,79.06192779541016,75.47250366210938,30.740510940551758,60.285247802734375,34.40314865112305,76.1500015258789,125.71878051757812,31.247949600219727,45.103031158447266,30.190162658691406,39.95492172241211,21.82229995727539,46.50143051147461,42.81287384033203,4.610352993011475,38.060752868652344,74.28318786621094,22.486080169677734,71.5899887084961,54.61692810058594,,57.43006134033203,58.18312072753906,34.36592102050781,25.797115325927734,35.143672943115234,132.81201171875,13.693167686462402,59.680458068847656,122.2262954711914,26.8700008392334,14.085332870483398,42.281341552734375,87.86280822753906,94.65129852294922,85.16751098632812,34.245697021484375,61.09907913208008,32.575931549072266,59.72996520996094,41.628944396972656,72.8714599609375,62.6217155456543
2015-01-07,24.28787612915039,47.721370697021484,38.486087799072266,77.46794891357422,71.11000061035156,44.95451736450195,2.5799999237060547,127.7033920288086,84.7188949584961,14.920999526977539,78.74571990966797,80.30986785888672,113.27236938476562,14.627331733703613,32.71248245239258,1069.5699462890625,287.4848937988281,47.51583480834961,,42.99534606933594,70.1941146850586,156.7899932861328,57.13992691040039,23.656208038330078,69.42571258544922,49.43940353393555,121.41426086425781,56.93000030517578,21.388731002807617,79.2147445678711,76.94829559326172,61.74797058105469,86.51880645751953,,61.011837005615234,47.83527755737305,19.739044189453125,10.71573257446289,156.3963623046875,113.36785125732422,160.8013153076172,77.44281768798828,28.6143856048584,24.986400604248047,25.25749969482422,163.49160766601562,87.5782470703125,80.3573226928711,105.99034118652344,29.046451568603516,85.6934585571289,47.55221939086914,,33.48881530761719,107.84858703613281,58.32320022583008,154.8184356689453,59.64542007446289,80.291748046875,76.78756713867188,31.705703735351562,61.79194259643555,34.859317779541016,76.1500015258789,126.63006591796875,31.822120666503906,46.06759262084961,30.621213912963867,40.46256637573242,22.02206039428711,46.74285888671875,43.697235107421875,4.598341464996338,38.069580078125,76.45530700683594,22.793807983398438,71.96552276611328,55.027732849121094,,58.099876403808594,58.81441116333008,35.21173095703125,26.30133056640625,35.53220748901367,135.2560577392578,13.773004531860352,61.939537048339844,125.88783264160156,28.25,14.063332557678223,43.04074478149414,88.75992584228516,95.17415618896484,85.96004486083984,34.54714584350586,61.91769027709961,32.365726470947266,61.25738525390625,41.87669372558594,74.80490112304688,63.256248474121094
2015-01-08,25.2210693359375,48.2204704284668,39.27714157104492,78.64924621582031,72.91999816894531,44.75649642944336,2.609999895095825,127.24333953857422,85.50616455078125,15.02299976348877,82.68099212646484,81.44822692871094,115.27525329589844,14.929551124572754,33.16460418701172,1082.8499755859375,290.8424987792969,48.70292282104492,,43.64235305786133,70.91356658935547,162.94000244140625,57.917381286621094,24.17066192626953,70.10271453857422,50.67247772216797,122.45743560791016,58.59000015258789,21.553258895874023,80.89927673339844,78.7091064453125,62.70185470581055,87.41353607177734,,61.25743103027344,49.088890075683594,19.891427993774414,10.986474990844727,160.0539093017578,116.1014404296875,162.73789978027344,79.63810729980469,28.901809692382812,25.065183639526367,25.345500946044922,166.10182189941406,89.51583862304688,81.82132720947266,108.29405975341797,29.586729049682617,86.36727905273438,48.61484146118164,,33.89388656616211,109.62472534179688,59.70482635498047,158.30697631835938,60.90480422973633,81.54066467285156,77.07340240478516,32.107139587402344,63.27326202392578,35.39037322998047,78.18000030517578,129.66514587402344,32.3580207824707,46.994773864746094,31.077146530151367,41.65289306640625,22.155912399291992,47.779998779296875,44.705936431884766,4.771320819854736,38.298954010009766,77.8448257446289,23.258989334106445,72.78851318359375,55.8560791015625,,58.714534759521484,59.816139221191406,35.77995681762695,26.98888397216797,35.56045913696289,135.0616455078125,13.910028457641602,62.22999954223633,127.19620513916016,29.020000457763672,14.041333198547363,43.74298858642578,92.99674224853516,98.74159240722656,87.50553894042969,34.800987243652344,62.748199462890625,33.059417724609375,62.01708984375,42.80373764038086,76.38371276855469,64.30912780761719
2015-01-09,25.24811553955078,46.90140151977539,38.864402770996094,78.56175231933594,71.83999633789062,43.997344970703125,2.630000114440918,125.6777114868164,85.06975555419922,14.846500396728516,83.56523895263672,80.41656494140625,115.04786682128906,14.661872863769531,32.67897415161133,1051.9599609375,287.394287109375,48.38208770751953,,42.66766357421875,70.06621551513672,161.97999572753906,57.34892272949219,24.1320743560791,68.88761901855469,50.66465377807617,120.5729751586914,58.15999984741211,21.772632598876953,80.85800170898438,77.1407699584961,62.2795524597168,87.8422622680664,,61.344112396240234,48.319271087646484,19.858774185180664,10.836852073669434,157.87774658203125,116.5290756225586,160.4674530029297,79.56803131103516,28.414785385131836,24.740575790405273,25.035999298095703,163.5526885986328,87.9808578491211,80.46305847167969,108.76570892333984,29.6431827545166,85.19015502929688,47.769569396972656,,33.51996994018555,108.14747619628906,58.912933349609375,158.2177276611328,59.75910568237305,80.50151824951172,76.13407897949219,31.791101455688477,62.977020263671875,34.73676681518555,77.73999786376953,128.0723114013672,32.281455993652344,46.77792739868164,30.571481704711914,41.30278778076172,21.96027946472168,47.04142761230469,44.21310043334961,4.790539741516113,38.28130340576172,77.31775665283203,23.366336822509766,72.1093521118164,55.70792770385742,,58.64362335205078,59.487449645996094,34.60882568359375,26.081314086914062,35.10836410522461,136.4850311279297,13.868507385253906,61.66521453857422,126.6884536743164,29.25,13.77733325958252,43.76747131347656,92.12630462646484,96.97055053710938,86.86355590820312,34.07910919189453,61.81805419921875,32.76511001586914,60.51364517211914,42.100460052490234,75.43812561035156,64.2184829711914
2015-01-12,24.625988006591797,46.88714599609375,39.191139221191406,78.32549285888672,71.12000274658203,43.20519256591797,2.630000114440918,126.07315063476562,84.70177459716797,14.570500373840332,82.17912292480469,79.59834289550781,114.46186828613281,14.40282917022705,32.21010208129883,1039.97998046875,285.5015563964844,49.87397384643555,,42.331565856933594,69.45867919921875,163.85000610351562,57.06467819213867,24.08062744140625,68.61854553222656,49.22089767456055,119.89994049072266,57.72999954223633,21.97633171081543,80.26343536376953,75.47975158691406,61.50768280029297,88.0379867553711,,61.401878356933594,47.74007034301758,19.934965133666992,10.84398078918457,157.79539489746094,115.6318359375,160.13356018066406,78.78956604003906,28.6143856048584,24.560070037841797,24.85300064086914,161.56231689453125,87.58660888671875,80.07263946533203,106.9405288696289,29.514162063598633,84.8979263305664,47.3590087890625,,33.21617126464844,107.90837860107422,58.4832763671875,157.77149963378906,59.33931350708008,79.47187042236328,75.9707260131836,31.492151260375977,63.03624725341797,34.33505630493164,76.72000122070312,127.375,32.48561096191406,46.583518981933594,30.14872169494629,40.78639602661133,21.904680252075195,45.547142028808594,44.15322494506836,4.730477809906006,38.17543411254883,76.9983139038086,23.452219009399414,71.84566497802734,55.93016052246094,,57.973819732666016,59.71180725097656,34.7996826171875,25.824621200561523,35.115421295166016,136.61695861816406,13.905876159667969,61.82661056518555,125.46797180175781,29.270000457763672,13.480667114257812,43.37553787231445,91.08708190917969,96.1187515258789,86.895263671875,33.76179885864258,61.697025299072266,32.989349365234375,60.53763198852539,41.59698486328125,76.0038070678711,62.984310150146484
2015-01-13,24.844635009765625,45.536643981933594,38.560157775878906,78.60552978515625,70.58999633789062,42.800872802734375,2.6600000858306885,125.20158386230469,83.76046752929688,14.737000465393066,81.71708679199219,79.35822296142578,114.72427368164062,14.204227447509766,32.1515007019043,1037.8199462890625,286.3656921386719,50.6279296875,,42.029075622558594,69.04300689697266,164.39999389648438,57.45758819580078,24.36787223815918,68.03703308105469,48.72924041748047,118.6969223022461,57.970001220703125,22.015504837036133,80.29647827148438,74.2821044921875,61.4202995300293,88.71835327148438,,61.73411560058594,47.668670654296875,19.869659423828125,10.836852073669434,156.81700134277344,115.53959655761719,159.33226013183594,75.67566680908203,28.143333435058594,24.741073608398438,25.09000015258789,161.44004821777344,87.00784301757812,80.64197540283203,107.19346618652344,29.43350601196289,85.04402923583984,47.36705780029297,,33.208377838134766,107.16545104980469,58.449562072753906,157.67416381835938,59.34806823730469,79.65301513671875,75.82373046875,31.28716468811035,61.61420822143555,33.912940979003906,76.44999694824219,127.2799072265625,32.74079513549805,46.50126647949219,29.86688995361328,40.57633972167969,21.991165161132812,46.255714416503906,43.761714935302734,4.723269939422607,37.87547302246094,76.94241333007812,23.216049194335938,72.1493148803711,55.963829040527344,,57.50099182128906,59.6544189453125,35.077274322509766,25.84295654296875,35.09423065185547,136.70721435546875,13.905876159667969,61.277957916259766,125.31177520751953,29.469999313354492,13.616666793823242,43.106075286865234,91.5489501953125,94.31392669677734,87.26778411865234,33.39689254760742,61.87736129760742,33.059417724609375,60.18577194213867,41.43714904785156,75.40435028076172,62.75421905517578
2015-01-14,24.74995994567871,45.75932312011719,38.27489471435547,77.68669128417969,69.98999786376953,42.39653778076172,2.630000114440918,125.21772766113281,83.22989654541016,14.66349983215332,82.36236572265625,77.43717956542969,114.0333023071289,13.850201606750488,31.33933448791504,1035.6700439453125,284.5304870605469,50.49159622192383,,41.21403121948242,68.80318450927734,158.1300048828125,57.223506927490234,23.930583953857422,66.61363983154297,48.86970520019531,117.19941711425781,57.25,21.87447738647461,80.37081146240234,74.06826782226562,60.45186233520508,87.8236312866211,,61.89303970336914,47.3036994934082,20.092792510986328,10.765606880187988,157.95999145507812,115.69123840332031,158.7980194091797,77.27154541015625,27.384864807128906,24.974931716918945,25.296499252319336,157.33709716796875,86.09355163574219,80.26785278320312,106.5030288696289,29.312557220458984,84.42705535888672,45.732887268066406,,33.15385055541992,106.38838195800781,58.76971435546875,156.7655792236328,58.9370231628418,79.56721496582031,74.77003479003906,31.218835830688477,60.75080108642578,33.32060241699219,76.27999877929688,126.66180419921875,33.00236892700195,46.837764739990234,29.187145233154297,40.22624969482422,22.1270809173584,46.31999969482422,43.16292953491211,4.742489814758301,37.99015808105469,77.1979751586914,23.24467658996582,71.90160369873047,56.17934799194336,,56.90998840332031,59.22658157348633,34.8820915222168,24.96287727355957,35.454490661621094,137.91537475585938,13.839441299438477,59.97090530395508,123.22221374511719,29.56999969482422,12.845999717712402,43.04074478149414,91.77989196777344,93.91754913330078,86.6812973022461,32.79399871826172,60.63875961303711,32.91226577758789,59.96985626220703,40.9576416015625,73.12472534179688,62.572914123535156
